lambda nm,X,Y,Z
429,2.84E-01,3.17E-02,1.51E+00
429.1,2.85E-01,3.18E-02,1.51E+00
429.2,2.86E-01,3.20E-02,1.52E+00
429.3,2.86E-01,3.21E-02,1.52E+00
429.4,2.87E-01,3.23E-02,1.53E+00
429.5,2.88E-01,3.24E-02,1.53E+00
429.6,2.89E-01,3.26E-02,1.53E+00
429.7,2.90E-01,3.27E-02,1.54E+00
429.8,2.90E-01,3.29E-02,1.54E+00
429.9,2.91E-01,3.30E-02,1.55E+00
430,2.92E-01,3.32E-02,1.55E+00
430.1,2.93E-01,3.33E-02,1.56E+00
430.2,2.93E-01,3.35E-02,1.56E+00
430.3,2.94E-01,3.37E-02,1.57E+00
430.4,2.95E-01,3.38E-02,1.57E+00
430.5,2.95E-01,3.40E-02,1.57E+00
430.6,2.96E-01,3.41E-02,1.58E+00
430.7,2.97E-01,3.43E-02,1.58E+00
430.8,2.98E-01,3.45E-02,1.59E+00
430.9,2.98E-01,3.46E-02,1.59E+00
431,2.99E-01,3.48E-02,1.60E+00
431.1,3.00E-01,3.49E-02,1.60E+00
431.2,3.00E-01,3.51E-02,1.60E+00
431.3,3.01E-01,3.53E-02,1.61E+00
431.4,3.02E-01,3.54E-02,1.61E+00
431.5,3.02E-01,3.56E-02,1.62E+00
431.6,3.03E-01,3.58E-02,1.62E+00
431.7,3.03E-01,3.59E-02,1.62E+00
431.8,3.04E-01,3.61E-02,1.63E+00
431.9,3.05E-01,3.62E-02,1.63E+00
432,3.05E-01,3.64E-02,1.64E+00
432.1,3.06E-01,3.66E-02,1.64E+00
432.2,3.07E-01,3.67E-02,1.64E+00
432.3,3.07E-01,3.69E-02,1.65E+00
432.4,3.08E-01,3.71E-02,1.65E+00
432.5,3.08E-01,3.72E-02,1.65E+00
432.6,3.09E-01,3.74E-02,1.66E+00
432.7,3.09E-01,3.76E-02,1.66E+00
432.8,3.10E-01,3.78E-02,1.67E+00
432.9,3.11E-01,3.79E-02,1.67E+00
433,3.11E-01,3.81E-02,1.67E+00
433.1,3.12E-01,3.83E-02,1.68E+00
433.2,3.12E-01,3.84E-02,1.68E+00
433.3,3.13E-01,3.86E-02,1.68E+00
433.4,3.13E-01,3.88E-02,1.69E+00
433.5,3.14E-01,3.90E-02,1.69E+00
433.6,3.15E-01,3.91E-02,1.70E+00
433.7,3.15E-01,3.93E-02,1.70E+00
433.8,3.16E-01,3.95E-02,1.70E+00
433.9,3.16E-01,3.96E-02,1.71E+00
434,3.17E-01,3.98E-02,1.71E+00
434.1,3.17E-01,4.00E-02,1.71E+00
434.2,3.18E-01,4.02E-02,1.72E+00
434.3,3.19E-01,4.03E-02,1.72E+00
434.4,3.19E-01,4.05E-02,1.73E+00
434.5,3.20E-01,4.07E-02,1.73E+00
434.6,3.20E-01,4.09E-02,1.73E+00
434.7,3.21E-01,4.10E-02,1.74E+00
434.8,3.22E-01,4.12E-02,1.74E+00
434.9,3.22E-01,4.14E-02,1.74E+00
435,3.23E-01,4.16E-02,1.75E+00
435.1,3.23E-01,4.18E-02,1.75E+00
435.2,3.24E-01,4.19E-02,1.76E+00
435.3,3.25E-01,4.21E-02,1.76E+00
435.4,3.25E-01,4.23E-02,1.76E+00
435.5,3.26E-01,4.25E-02,1.77E+00
435.6,3.26E-01,4.27E-02,1.77E+00
435.7,3.27E-01,4.28E-02,1.78E+00
435.8,3.28E-01,4.30E-02,1.78E+00
435.9,3.28E-01,4.32E-02,1.78E+00
436,3.29E-01,4.34E-02,1.79E+00
436.1,3.29E-01,4.36E-02,1.79E+00
436.2,3.30E-01,4.37E-02,1.80E+00
436.3,3.31E-01,4.39E-02,1.80E+00
436.4,3.31E-01,4.41E-02,1.80E+00
436.5,3.32E-01,4.43E-02,1.81E+00
436.6,3.33E-01,4.45E-02,1.81E+00
436.7,3.33E-01,4.46E-02,1.82E+00
436.8,3.34E-01,4.48E-02,1.82E+00
436.9,3.34E-01,4.50E-02,1.82E+00
437,3.35E-01,4.52E-02,1.83E+00
437.1,3.36E-01,4.54E-02,1.83E+00
437.2,3.36E-01,4.55E-02,1.83E+00
437.3,3.37E-01,4.57E-02,1.84E+00
437.4,3.37E-01,4.59E-02,1.84E+00
437.5,3.38E-01,4.61E-02,1.85E+00
437.6,3.38E-01,4.62E-02,1.85E+00
437.7,3.39E-01,4.64E-02,1.85E+00
437.8,3.39E-01,4.66E-02,1.86E+00
437.9,3.40E-01,4.68E-02,1.86E+00
438,3.41E-01,4.70E-02,1.86E+00
438.1,3.41E-01,4.71E-02,1.87E+00
438.2,3.42E-01,4.73E-02,1.87E+00
438.3,3.42E-01,4.75E-02,1.87E+00
438.4,3.43E-01,4.77E-02,1.88E+00
438.5,3.43E-01,4.78E-02,1.88E+00
438.6,3.43E-01,4.80E-02,1.88E+00
438.7,3.44E-01,4.82E-02,1.89E+00
438.8,3.44E-01,4.83E-02,1.89E+00
438.9,3.45E-01,4.85E-02,1.89E+00
439,3.45E-01,4.87E-02,1.89E+00
439.1,3.46E-01,4.89E-02,1.90E+00
439.2,3.46E-01,4.90E-02,1.90E+00
439.3,3.46E-01,4.92E-02,1.90E+00
439.4,3.47E-01,4.94E-02,1.90E+00
439.5,3.47E-01,4.95E-02,1.91E+00
439.6,3.47E-01,4.97E-02,1.91E+00
439.7,3.48E-01,4.99E-02,1.91E+00
439.8,3.48E-01,5.00E-02,1.91E+00
439.9,3.48E-01,5.02E-02,1.92E+00
440,3.48E-01,5.03E-02,1.92E+00
440.1,3.48E-01,5.05E-02,1.92E+00
440.2,3.49E-01,5.07E-02,1.92E+00
440.3,3.49E-01,5.08E-02,1.92E+00
440.4,3.49E-01,5.10E-02,1.92E+00
440.5,3.49E-01,5.11E-02,1.93E+00
440.6,3.49E-01,5.13E-02,1.93E+00
440.7,3.49E-01,5.14E-02,1.93E+00
440.8,3.49E-01,5.16E-02,1.93E+00
440.9,3.49E-01,5.17E-02,1.93E+00
441,3.49E-01,5.19E-02,1.93E+00
441.1,3.49E-01,5.20E-02,1.93E+00
441.2,3.49E-01,5.22E-02,1.93E+00
441.3,3.49E-01,5.23E-02,1.93E+00
441.4,3.49E-01,5.25E-02,1.93E+00
441.5,3.49E-01,5.26E-02,1.93E+00
