lambda nm,L,M
439.7,3.99E-02,6.40E-02
439.8,4.00E-02,6.43E-02
439.9,4.01E-02,6.45E-02
440,4.03E-02,6.48E-02
440.1,4.04E-02,6.50E-02
440.2,4.05E-02,6.53E-02
440.3,4.06E-02,6.55E-02
440.4,4.07E-02,6.57E-02
440.5,4.08E-02,6.60E-02
440.6,4.09E-02,6.62E-02
440.7,4.10E-02,6.64E-02
440.8,4.11E-02,6.67E-02
440.9,4.12E-02,6.69E-02
441,4.13E-02,6.71E-02
441.1,4.14E-02,6.74E-02
441.2,4.15E-02,6.76E-02
441.3,4.16E-02,6.78E-02
441.4,4.17E-02,6.80E-02
441.5,4.18E-02,6.83E-02
441.6,4.19E-02,6.85E-02
441.7,4.20E-02,6.87E-02
441.8,4.21E-02,6.89E-02
441.9,4.22E-02,6.92E-02
442,4.23E-02,6.94E-02
442.1,4.24E-02,6.96E-02
442.2,4.24E-02,6.98E-02
442.3,4.25E-02,7.00E-02
442.4,4.26E-02,7.03E-02
442.5,4.27E-02,7.05E-02
442.6,4.28E-02,7.07E-02
442.7,4.29E-02,7.09E-02
442.8,4.30E-02,7.11E-02
442.9,4.31E-02,7.13E-02
443,4.32E-02,7.16E-02
443.1,4.33E-02,7.18E-02
443.2,4.33E-02,7.20E-02
443.3,4.34E-02,7.22E-02
443.4,4.35E-02,7.24E-02
443.5,4.36E-02,7.26E-02
443.6,4.37E-02,7.29E-02
443.7,4.38E-02,7.31E-02
443.8,4.39E-02,7.33E-02
443.9,4.40E-02,7.35E-02
444,4.40E-02,7.37E-02
444.1,4.41E-02,7.39E-02
444.2,4.42E-02,7.41E-02
444.3,4.43E-02,7.44E-02
444.4,4.44E-02,7.46E-02
444.5,4.45E-02,7.48E-02
444.6,4.46E-02,7.50E-02
444.7,4.47E-02,7.52E-02
444.8,4.48E-02,7.54E-02
444.9,4.48E-02,7.57E-02
445,4.49E-02,7.59E-02
445.1,4.50E-02,7.61E-02
445.2,4.51E-02,7.63E-02
445.3,4.52E-02,7.65E-02
445.4,4.53E-02,7.68E-02
445.5,4.54E-02,7.70E-02
445.6,4.55E-02,7.72E-02
445.7,4.56E-02,7.74E-02
445.8,4.57E-02,7.77E-02
445.9,4.58E-02,7.79E-02
446,4.59E-02,7.81E-02
446.1,4.60E-02,7.83E-02
446.2,4.61E-02,7.85E-02
446.3,4.62E-02,7.88E-02
446.4,4.63E-02,7.90E-02
446.5,4.64E-02,7.92E-02
446.6,4.65E-02,7.94E-02
446.7,4.66E-02,7.97E-02
446.8,4.66E-02,7.99E-02
446.9,4.67E-02,8.01E-02
447,4.68E-02,8.04E-02
447.1,4.69E-02,8.06E-02
447.2,4.70E-02,8.08E-02
447.3,4.71E-02,8.10E-02
447.4,4.72E-02,8.13E-02
447.5,4.73E-02,8.15E-02
447.6,4.74E-02,8.17E-02
447.7,4.75E-02,8.19E-02
447.8,4.76E-02,8.22E-02
447.9,4.77E-02,8.24E-02
448,4.78E-02,8.26E-02
448.1,4.79E-02,8.28E-02
448.2,4.80E-02,8.31E-02
448.3,4.81E-02,8.33E-02
448.4,4.82E-02,8.35E-02
448.5,4.83E-02,8.37E-02
448.6,4.85E-02,8.40E-02
448.7,4.86E-02,8.42E-02
448.8,4.87E-02,8.44E-02
448.9,4.88E-02,8.46E-02
449,4.89E-02,8.49E-02
449.1,4.90E-02,8.51E-02
449.2,4.91E-02,8.53E-02
449.3,4.92E-02,8.55E-02
449.4,4.93E-02,8.57E-02
449.5,4.94E-02,8.60E-02
449.6,4.95E-02,8.62E-02
449.7,4.96E-02,8.64E-02
449.8,4.97E-02,8.66E-02
449.9,4.98E-02,8.68E-02
450,4.99E-02,8.71E-02
450.1,5.00E-02,8.73E-02
450.2,5.01E-02,8.75E-02
450.3,5.02E-02,8.77E-02
450.4,5.03E-02,8.79E-02
450.5,5.04E-02,8.81E-02
450.6,5.05E-02,8.83E-02
450.7,5.06E-02,8.85E-02
450.8,5.07E-02,8.87E-02
450.9,5.08E-02,8.90E-02
451,5.09E-02,8.92E-02
451.1,5.10E-02,8.94E-02
451.2,5.11E-02,8.96E-02
451.3,5.12E-02,8.98E-02
451.4,5.13E-02,9.00E-02
451.5,5.14E-02,9.02E-02
451.6,5.15E-02,9.04E-02
451.7,5.16E-02,9.06E-02
451.8,5.17E-02,9.08E-02
451.9,5.18E-02,9.10E-02
452,5.19E-02,9.13E-02
452.1,5.20E-02,9.15E-02
452.2,5.21E-02,9.17E-02
